Barrio;Miercoles prom ;Domingo Prome;Jueves Prom;Lunes Promedio;Martes Prome;Sabado Promedio;Viernes Prome;Promedio Ene;Promedio Feb ;Promedio Marz;Promedio Abril;Promedio Mayo;Promedio Junio;Promo Julio;Promedio Agosto;Promedio Sept;Promedio Oct;Promedio Nov;Promedio Dic;Atropello Mensual;Caida de Ocupante Mensual ;Choque Mensual ;Herido Mensual ;Muerto Mensual ;Solo Daños Mes ;2014;2015;2016;2017;2018;Prom_año;Ciclo Ruta Mes ;Glorieta Mes ;Interseccion Mes ;Lote Mensual ;Paso a nivel Mensual ;Paso elevado Mes;Paso inferior mes ;Ponton Mes ;Puente mes ;Tramo Via Me s;Tunel Mes ;Via Peat Mes ;Prom_D_madre;Prom_N_buena;Prom_Navidad;Prom_Feria_Flores;Prom_1_enero;Dia_5 Prom;Dia 10 Prom ;Dia 21 Prom ;Dia 23 Prom ;Dia 16 Prom ;Dia 17 Prom ;Dia 18 Prom ;semaforos ;estrato
Aguas Frias;0.034615385;0.057471264;0.072796935;0.034482759;0.019157088;0.057471264;0.049808429;1;1.4;1.4;0.8;2.6;1.2;2;2;1;1.2;1.4;1;0.266666667;0.2;0.65;1.05;0;0.366666667;25;19;20;14;7;17;0;0.016666667;0.05;0.216666667;0;0;0;0;0;1.133333333;0;0;0.2;0;0;0.01;0;0.033333333;0.05;0.033333333;0.05;0;0.083333333;0.083333333;0;2
Aldea Pablo Vi;0.057692308;0.068965517;0.022988506;0.042145594;0.030651341;0.061302682;0.034482759;2;1.6;1.4;1.6;1.2;0.8;2.2;1.4;2;0.4;1;1;0.45;0.2;0.583333333;1.066666667;0.033333333;0.283333333;17;15;20;11;20;16.6;0;0;0.033333333;0.15;0;0;0;0;0;1.183333333;0;0;0;0;0;0.04;0.2;0.016666667;0.066666667;0.066666667;0.033333333;0;0.05;0.083333333;0;1
Alejandría;0.365384615;0.088122605;0.337164751;0.222222222;0.363984674;0.203065134;0.333333333;7.2;8.2;6.6;6.6;11.2;9.2;8.6;9.2;8.4;8.6;9.6;6.4;0.233333333;0.3;7.233333333;2.2;0.016666667;6.1;78;64;105;123;129;99.8;0.016666667;0.05;1.283333333;1.116666667;0.016666667;0;0;0;0;5.816666667;0;0;0.4;0;0;0.2;0.2;0.366666667;0.3;0.166666667;0.3;0.25;0.366666667;0.283333333;1;5
Alejandro Echavarría;0.442307692;0.475095785;0.436781609;0.517241379;0.440613027;0.463601533;0.478927203;12;11.8;16.4;15;16.6;16.2;12.4;13.6;16.2;13.2;12;14.4;1.633333333;1.416666667;8.133333333;10.01666667;0.05;4.083333333;162;147;190;181;169;169.8;0.05;0.15;2.5;1.366666667;0;0;0.016666667;0;0;10.01666667;0;0;0.4;0;0.5;0.51;0.4;0.416666667;0.633333333;0.166666667;0.55;0.433333333;0.4;0.4;3;3
Alfonso López;0.542307692;0.536398467;0.689655172;0.609195402;0.681992337;0.689655172;0.655172414;19.2;18;23;18;20.4;14.2;20.8;18;19;24.2;16.2;18.8;2.216666667;2.966666667;10.11666667;12.86666667;0.116666667;6.166666667;234;244;289;196;186;229.8;0.15;0;2.3;1.733333333;0;0;0;0;0;14.85;0;0;0.6;1;0.5;0.47;0.2;0.5;0.866666667;0.7;0.633333333;0.6;0.533333333;0.566666667;2;3
Altamira;0.453846154;0.279693487;0.498084291;0.432950192;0.505747126;0.348659004;0.455938697;10.8;14;12.6;13.2;15.6;13.4;13.4;14.4;14;10.4;11;12.4;0.833333333;2.4;7.766666667;8.4;0.033333333;4.5;216;162;137;142;119;155.2;0.116666667;0.116666667;1.566666667;1.5;0;0;0;0;0;9.6;0;0;0.8;0.25;0.25;0.36;0;0.516666667;0.65;0.4;0.366666667;0.55;0.533333333;0.4;3;3
Altavista;0.157692308;0.199233716;0.164750958;0.214559387;0.214559387;0.187739464;0.218390805;6.8;5.8;6.2;5.6;5;6.2;6.8;7;6.2;5;4.4;5.8;1.033333333;0.483333333;3.45;3.566666667;0.05;2.283333333;78;77;82;64;53;70.8;0.033333333;0;0.95;0.516666667;0;0;0;0;0;4.35;0;0;0;0.25;0;0.19;0.4;0.233333333;0.233333333;0.266666667;0.2;0.183333333;0.15;0.133333333;0;2
Altavista Sector Central;0.065384615;0.091954023;0.0651341;0.088122605;0.0651341;0.08045977;0.061302682;1.6;1.4;3;2.4;1.6;2.4;2;2.4;3;1.6;2.4;3.2;0.416666667;0.366666667;0.85;1.716666667;0.083333333;0.45;23;30;30;30;22;27;0.033333333;0;0.116666667;0.3;0;0;0;0;0;1.716666667;0;0;0;0;0.25;0.14;0;0.05;0.066666667;0.033333333;0.066666667;0.083333333;0.05;0.1;0;2
Altos Del Poblado;0.176923077;0.053639847;0.134099617;0.187739464;0.16091954;0.111111111;0.195402299;4.8;4.2;3;5.2;3.2;4.8;4.2;4.8;6.4;5;3.2;4.4;0.25;0.316666667;3.316666667;2.1;0;2.333333333;49;54;80;41;42;53.2;0.016666667;0.016666667;0.516666667;0.483333333;0;0.033333333;0;0;0;3.366666667;0;0;0;0.25;0;0.08;0.2;0.1;0.183333333;0.2;0.116666667;0.166666667;0.133333333;0.05;0;6
Andalucía;0.126923077;0.122605364;0.134099617;0.16091954;0.095785441;0.16091954;0.130268199;3.2;4.8;5.2;3.6;4.4;3.6;2.6;4.6;3.8;2.8;4.8;5.2;0.966666667;0.416666667;1.966666667;2.65;0.1;1.3;49;47;52;52;43;48.6;0.033333333;0;0.366666667;0.383333333;0;0;0;0;0;3.166666667;0;0;0;0.25;0.75;0.2;0;0.1;0.133333333;0.133333333;0.133333333;0.2;0.116666667;0.1;0;2
Antonio Nariño;0.107692308;0.16091954;0.14559387;0.141762452;0.114942529;0.122605364;0.130268199;4.6;4.2;3.8;3;3;3;4.4;4.6;3.4;4.6;6;3.6;0.666666667;0.766666667;1.666666667;3.166666667;0.016666667;0.833333333;53;54;50;55;29;48.2;0.016666667;0;0.433333333;0.55;0;0;0;0;0;3;0;0;0.2;0;0.5;0.24;0;0.133333333;0.166666667;0.1;0.1;0.2;0.1;0.183333333;0;2
Aranjuez;0.234615385;0.199233716;0.180076628;0.218390805;0.206896552;0.24137931;0.149425287;6.2;7.8;7.6;7;7.8;6.2;5.8;5.6;5.2;4.6;5.2;5.6;0.916666667;0.833333333;3.416666667;4.383333333;0.033333333;1.8;72;86;73;75;67;74.6;0;0.033333333;1.133333333;0.55;0;0;0;0;0;4.466666667;0;0;0.4;0;0.25;0.14;0.4;0.2;0.2;0.133333333;0.333333333;0.2;0.15;0.2;0;4
Area De Expansion Altavista;0.026923077;0.030651341;0.011494253;0.030651341;0.01532567;0.034482759;0.030651341;1.4;0.2;0.2;1.4;0.4;1;1.4;0.4;0.2;0.6;0.6;1.6;0.183333333;0.166666667;0.3;0.666666667;0;0.116666667;13;13;12;6;3;9.4;0;0;0.05;0.033333333;0;0;0;0;0;0.7;0;0;0;0.5;0.25;0.01;0;0;0.05;0.066666667;0.016666667;0.016666667;0.016666667;0.033333333;0;3
Area De Expansion Altos De Calasanz;0.038461538;0.053639847;0.038314176;0.084291188;0.042145594;0.061302682;0.076628352;1.8;1.2;2;1.6;2;2.4;0.6;2.2;2.2;2.2;0.8;1.6;0.15;0.133333333;1.233333333;0.85;0.016666667;0.85;12;19;18;30;24;20.6;0;0;0.05;0.3;0;0;0;0;0;1.35;0;0;0.2;0;0;0.02;0;0.05;0.033333333;0.066666667;0.016666667;0.016666667;0.05;0.066666667;0;2
Area De Expansion Belen Rincon;0.003846154;0.007662835;0.003831418;0;0.003831418;0.01532567;0.007662835;0;0;0.2;0;0;0.6;0.2;0;0.2;0.2;0.4;0.4;0.016666667;0;0.133333333;0.116666667;0;0.066666667;2;2;5;1;1;2.2;0;0;0.016666667;0.016666667;0;0;0;0;0;0.15;0;0;0;0;0;0;0;0.016666667;0.016666667;0;0;0.016666667;0.016666667;0.016666667;0;5
Área De Expansión Pajarito;0.376923077;0.402298851;0.421455939;0.498084291;0.417624521;0.425287356;0.348659004;12.2;9.8;13.6;13;15.2;11.2;14.4;16;13;9.4;9.8;13.2;1.533333333;2.233333333;5.95;9.483333333;0.15;2.933333333;141;164;146;166;137;150.8;0.016666667;0;1.183333333;1.75;0;0.016666667;0.016666667;0;0.016666667;9.416666667;0.016666667;0;0.8;0;0.75;0.4;0.6;0.5;0.533333333;0.366666667;0.516666667;0.433333333;0.383333333;0.466666667;1;2
Área De Expansión San Antonio De Prado;0.042307692;0.049808429;0.030651341;0.022988506;0.011494253;0.026819923;0.034482759;0.6;0.8;1.6;0.6;0.6;1.2;0.8;0.6;1.6;1;0.8;1.2;0.116666667;0.083333333;0.6;0.65;0.033333333;0.266666667;8;12;14;8;15;11.4;0;0.016666667;0.05;0.133333333;0;0.016666667;0;0;0;0.7;0;0;0;0;0.25;0.03;0;0.016666667;0.033333333;0.033333333;0.05;0;0.066666667;0;0;2
Asomadera No. 1;0.246153846;0.183908046;0.256704981;0.252873563;0.210727969;0.245210728;0.199233716;4.4;6.8;5.8;9;7.2;5.6;5.8;6.4;10;7.6;7.2;7.4;0.266666667;0.4;5.4;2.783333333;0.033333333;4.116666667;51;48;52;138;127;83.2;0;0;0.633333333;0.516666667;0;0.1;0;0;0.033333333;5.616666667;0;0;0;0.25;0;0.2;0;0.233333333;0.183333333;0.283333333;0.3;0.216666667;0.35;0.183333333;1;3
Asomadera No. 2;0.311538462;0.176245211;0.268199234;0.233716475;0.337164751;0.272030651;0.275862069;7.8;8.8;10;8;7.6;7.6;8.8;9;9.2;6;7.2;7.8;0.133333333;0.4;6.516666667;3.016666667;0.016666667;5.116666667;88;86;89;122;104;97.8;0.033333333;0.016666667;0.7;0.733333333;0;0.016666667;0;0;0;6.633333333;0;0;0;0.5;0.25;0.14;0.4;0.266666667;0.233333333;0.35;0.233333333;0.183333333;0.283333333;0.166666667;0;6
Asomadera No. 3;0.107692308;0.068965517;0.072796935;0.099616858;0.088122605;0.049808429;0.0651341;2.6;2.6;3.6;0.8;1.8;2.8;2.4;2.8;3;3;2.4;1;0.033333333;0.216666667;1.75;1.066666667;0.016666667;1.316666667;27;25;31;29;32;28.8;0.016666667;0.016666667;0.3;0.166666667;0;0;0;0;0;1.883333333;0;0;0;0;0;0.13;0.2;0.066666667;0.083333333;0.083333333;0.066666667;0.05;0.033333333;0.066666667;0;5
Astorga;0.234615385;0.0651341;0.222222222;0.134099617;0.157088123;0.126436782;0.214559387;3.4;5.4;5.2;4.4;6.8;3.2;4;5.6;6.4;4.6;4.4;6.8;0.183333333;0.1;4.433333333;1.733333333;0;3.283333333;74;61;59;51;56;60.2;0.016666667;0;1.9;0.15;0;0;0;0;0;2.95;0;0;0;0.25;0;0.23;0;0.2;0.183333333;0.133333333;0.15;0.15;0.083333333;0.15;1;5
Aures No. 2;0.3;0.344827586;0.314176245;0.325670498;0.356321839;0.340996169;0.252873563;8.2;6.6;8.2;9.6;11;8;12.6;9.2;10;13.4;8.4;11.4;1.233333333;2.5;3.333333333;7.833333333;0.033333333;1.85;99;116;121;117;130;116.6;0.066666667;0;1.2;1.583333333;0;0.05;0;0;0.05;6.733333333;0;0;0.2;0.25;1;0.37;0.6;0.333333333;0.316666667;0.216666667;0.35;0.166666667;0.316666667;0.216666667;0;2
Aures No.1;0.319230769;0.283524904;0.272030651;0.229885057;0.180076628;0.310344828;0.268199234;9;5.6;9;8.4;6.6;8.8;7.8;10.8;8.4;7.6;6.4;8.8;1.25;1.833333333;2.833333333;6.433333333;0.05;1.616666667;90;101;89;105;101;97.2;0;0;0.966666667;1.2;0;0;0;0;0;5.883333333;0;0;0.4;0.75;0.5;0.33;1.6;0.266666667;0.333333333;0.2;0.283333333;0.233333333;0.216666667;0.266666667;0;2
B. Cerro  El Volador;0.088461538;0.042145594;0.099616858;0.118773946;0.084291188;0.072796935;0.141762452;3.2;3;3.2;1.4;2.8;3;1.4;2.4;3.4;3;3.4;3.6;0.45;0.266666667;1.7;1.65;0.033333333;1.133333333;42;21;35;32;39;33.8;0;0;0.3;0.183333333;0;0;0;0;0;2.3;0;0;0;0.25;0.5;0.1;0.2;0.116666667;0.083333333;0.116666667;0.083333333;0.133333333;0.166666667;0.1;0;2
Barrio Caicedo;0.507692308;0.432950192;0.521072797;0.440613027;0.425287356;0.582375479;0.570881226;13.2;14.6;16.4;14.2;18.4;15.6;16.2;16;12.6;17.4;12.2;14.8;1.933333333;1.8;8.466666667;9.55;0.116666667;5.466666667;202;196;190;165;155;181.6;0.1;0.383333333;3.316666667;1.183333333;0.033333333;0;0;0;0.033333333;9.966666667;0;0;0.6;0.25;0.25;0.56;0.2;0.533333333;0.566666667;0.416666667;0.566666667;0.583333333;0.533333333;0.416666667;9;3
Barrio Colombia;0.788461538;0.180076628;0.789272031;0.624521073;0.819923372;0.54789272;0.812260536;19.2;20.6;18.8;20.4;22;16;17.6;18.6;21.4;24;17.6;21.8;0.983333333;1.166666667;15.76666667;8.55;0.116666667;11.16666667;242;200;249;270;229;238;0.033333333;0.25;2.7;0.95;0.016666667;0;0;0;0;15.75;0;0.016666667;0.4;0.5;0;0.54;0;0.65;0.633333333;0.7;0.7;0.783333333;0.6;0.616666667;4;3
Barrio Colón;2.238461538;0.750957854;2.026819923;2.045977011;2.471264368;2.149425287;2.237547893;59.4;55.4;60.8;60.2;60.2;58.4;62.8;60.2;66.4;64.4;61;57;5.316666667;2.85;47.53333333;23.36666667;0.283333333;36.86666667;685;747;703;749;747;726.2;0.166666667;1.416666667;11.33333333;1.966666667;0.05;0.95;0.05;0.016666667;0.166666667;44.13333333;0.016666667;0;1;1.75;0;1.92;0.2;2.1;1.7;1.916666667;1.933333333;2.016666667;2.133333333;2.033333333;19;3
Barrio Cristóbal;0.073076923;0.0651341;0.111111111;0.08045977;0.095785441;0.107279693;0.057471264;1.2;2.6;4.2;3.4;1.8;1.8;2.4;1.8;2.8;3.2;3;2.6;0.2;0.2;1.9;1.5;0.016666667;1.05;24;34;33;35;28;30.8;0.016666667;0;0.783333333;0.15;0;0;0;0;0;1.6;0;0;0;0;0.25;0;0;0.133333333;0.05;0.083333333;0.05;0.05;0.05;0.116666667;0;3
Barrio De Jesús;0.161538462;0.153256705;0.149425287;0.122605364;0.16091954;0.126436782;0.149425287;4.4;4.2;4.4;4.4;3.8;3.6;5.8;4.4;5.4;4.2;4.8;4;0.716666667;0.6;2.3;2.933333333;0.066666667;1.45;41;48;53;62;63;53.4;0.033333333;0;0.283333333;0.416666667;0;0.016666667;0;0;0.016666667;3.616666667;0;0;0.2;0;0.75;0.19;0.2;0.1;0.116666667;0.166666667;0.2;0.183333333;0.116666667;0.133333333;0;2
Batallón Girardot;0.007692308;0;0.003831418;0.007662835;0.003831418;0.007662835;0.011494253;0.2;0.2;0.2;0;0.2;0.2;0.4;0;0.4;0.2;0;0.2;0.1;0.016666667;0.066666667;0.15;0;0.033333333;0;3;3;3;2;2.2;0.016666667;0;0.016666667;0.05;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.016666667;0;0;0;0.033333333;0;0.016666667;0;3
Belalcázar;0.319230769;0.214559387;0.352490421;0.340996169;0.279693487;0.344827586;0.279693487;8;7.4;10.6;8;8;8.4;10.4;9.4;10.4;9.4;7.6;13.6;0.55;0.633333333;6.633333333;5.1;0.066666667;4.1;100;101;117;122;116;111.2;0.05;0;0.533333333;0.466666667;0;0;0.016666667;0;0;8.133333333;0;0;0.4;0.75;0.25;0.31;0.2;0.333333333;0.316666667;0.366666667;0.216666667;0.383333333;0.216666667;0.3;0;2
Belén;1.434615385;0.796934866;1.455938697;1.22605364;1.513409962;1.45210728;1.475095785;39.2;35.2;41.2;44;38.4;38;47;38.4;44.8;39.2;39.4;43.2;3.066666667;2.45;30.95;17.45;0.1;23.11666667;448;487;552;498;455;488;0.15;4.616666667;6.033333333;3.166666667;0;0.016666667;0.05;0;0;26.53333333;0;0;0.2;1;0.75;1.21;0.4;1.416666667;1.266666667;1.383333333;1.233333333;1.466666667;1.533333333;1.35;13;4
Belencito;0.073076923;0.0651341;0.084291188;0.091954023;0.095785441;0.095785441;0.103448276;2;3.4;2.6;1.8;3.6;2.8;3;2.6;2.4;2.2;2.4;3;0.383333333;0.25;1.466666667;1.9;0.033333333;0.716666667;21;36;30;40;32;31.8;0;0;0.233333333;0.233333333;0;0;0;0;0;2.166666667;0;0;0;0;0;0.06;0;0.083333333;0.083333333;0.083333333;0.133333333;0.083333333;0.033333333;0.133333333;0;4
Bello Horizonte;0.211538462;0.149425287;0.157088123;0.176245211;0.168582375;0.214559387;0.206896552;6.4;3.8;4.6;6.4;6.4;6.2;4.4;5.6;6.6;5.4;5.2;6;0.85;0.683333333;3.216666667;3.783333333;0.016666667;1.783333333;76;79;50;70;60;67;0;0;1.333333333;0.433333333;0;0;0;0;0;3.8;0;0;0.2;0.25;0.5;0.23;0.2;0.2;0.266666667;0.133333333;0.233333333;0.3;0.083333333;0.2;1;2
Berlin;0.4;0.509578544;0.417624521;0.475095785;0.37164751;0.475095785;0.455938697;10.8;13.6;15.6;14.2;15.2;11.8;19.4;14.4;10.2;13.6;12;11.2;2.7;1.6;7.116666667;9.05;0.083333333;4.366666667;167;169;154;172;148;162;0.05;0;3.066666667;0.916666667;0;0;0;0;0;9.383333333;0;0;0.6;0.25;0.5;0.63;0.8;0.283333333;0.616666667;0.483333333;0.516666667;0.533333333;0.516666667;0.383333333;5;3
Bermejal-Los Alamos;0.092307692;0.141762452;0.126436782;0.149425287;0.122605364;0.126436782;0.130268199;4.6;4.8;4.2;4;3.8;1.8;3.6;2.6;4.4;3.8;4.6;4.2;1.05;0.366666667;1.833333333;2.683333333;0.033333333;1.15;48;55;57;40;32;46.4;0;0;0.283333333;0.35;0;0;0;0;0.016666667;3.183333333;0;0;0.4;0.5;0.25;0.09;0;0.15;0.116666667;0.1;0.15;0.2;0.116666667;0.066666667;0;3
Betania;0.065384615;0.053639847;0.042145594;0.08045977;0.030651341;0.08045977;0.068965517;1.6;2.8;2.2;1.4;2;1.8;1.8;2.2;1.8;1.6;0.8;2;0.333333333;0.433333333;0.666666667;1.35;0.033333333;0.45;26;15;27;23;19;22;0;0.016666667;0.166666667;0.366666667;0;0;0;0;0.016666667;1.233333333;0;0;0;0;0;0.13;0.2;0.083333333;0.066666667;0.033333333;0.066666667;0.05;0.066666667;0.083333333;0;2
Blanquizal;0.05;0.038314176;0.038314176;0.053639847;0.053639847;0.061302682;0.042145594;1.8;0.8;1.4;1;1.6;1.8;1.4;1.8;1.8;1.2;1.2;1.8;0.266666667;0.183333333;0.65;1.033333333;0.016666667;0.416666667;14;16;22;17;19;17.6;0.016666667;0;0.083333333;0.083333333;0;0;0;0;0.033333333;1.233333333;0;0;0;0.5;0;0.11;0;0.083333333;0.016666667;0.05;0.05;0.116666667;0.066666667;0.083333333;0;1
Bolivariana;0.565384615;0.310344828;0.53256705;0.475095785;0.605363985;0.482758621;0.620689655;12;15.4;17.6;17.4;15.2;12.6;15.2;16.8;20.2;18.8;13.2;13;0.85;0.9;12.41666667;7.616666667;0.05;7.95;207;179;177;195;179;187.4;0.05;0.116666667;4.333333333;1.15;0;0;0;0;0;9.9;0;0.016666667;0.6;0.25;0;0.77;0;0.683333333;0.65;0.466666667;0.416666667;0.45;0.616666667;0.316666667;7;4
Bomboná No. 1;0.7;0.390804598;0.632183908;0.666666667;0.812260536;0.754789272;0.770114943;17.6;21.6;20;19.4;20;20.6;26;20.6;21;20.4;20;19.4;1.4;1.016666667;16.11666667;9.333333333;0.116666667;11.1;292;264;270;203;204;246.6;0.066666667;0;6.316666667;0.65;0;0.016666667;0;0;0;13.4;0;0;0.6;0;0;0.57;0.4;0.733333333;0.6;0.733333333;0.9;0.633333333;0.75;0.733333333;12;3
Bomboná No. 2;0.196153846;0.122605364;0.164750958;0.14559387;0.222222222;0.260536398;0.164750958;6;5;6.2;4.6;6;4.6;5;7.8;5;6.6;4.4;5.4;0.6;0.566666667;3.183333333;3.366666667;0.033333333;2.15;61;73;75;60;64;66.6;0;0;0.666666667;0.55;0;0;0;0;0;4.3;0;0;0;0;0;0.19;0;0.083333333;0.166666667;0.133333333;0.133333333;0.3;0.266666667;0.2;0;2
Boqueron;0;0;0;0;0;0;0.003831418;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0.016666667;0;0;0.016666667;0;0;0;1;0;0.2;0;0;0;0;0;0;0;0;0;0.016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Bosques De San Pablo;0.246153846;0.137931034;0.203065134;0.233716475;0.210727969;0.172413793;0.206896552;6.6;6.4;8.2;6.2;7.8;5.6;5.4;5.6;6;5.4;5.6;4.8;0.4;0.783333333;4.15;3.15;0.016666667;2.966666667;66;84;80;77;61;73.6;0.016666667;0;0.766666667;0.7;0;0;0;0;0;4.633333333;0;0;0.2;0;0.25;0.17;0;0.166666667;0.2;0.15;0.166666667;0.233333333;0.133333333;0.25;6;4
Boston;1.288461538;0.819923372;1.314176245;1.275862069;1.340996169;1.340996169;1.421455939;32;38;40.6;37.6;44.2;39;35.6;40.6;39.8;39.6;38.6;33.6;3.7;2;28.93333333;19.76666667;0.2;18.3;448;463;533;426;426;459.2;0.116666667;0.516666667;12.75;1.666666667;0;0.016666667;0;0;0.016666667;22.95;0;0.033333333;1.4;1.5;0.5;1.22;0.4;1.283333333;1.366666667;1.266666667;1.216666667;1.283333333;1.283333333;1.266666667;15;4
Boyacá;0.373076923;0.279693487;0.340996169;0.283524904;0.318007663;0.348659004;0.298850575;9;10.2;10.4;8.4;8.6;9.8;9.4;10.4;9.4;12;9.4;10;0.966666667;1.466666667;5.6;6.3;0.033333333;3.416666667;97;103;119;118;148;117;0.033333333;0.05;2.283333333;1.166666667;0;0;0;0;0;6.183333333;0;0;0.6;0.5;0.25;0.27;0.6;0.416666667;0.3;0.25;0.4;0.35;0.35;0.366666667;2;3
Brasilia;0.25;0.325670498;0.252873563;0.256704981;0.291187739;0.264367816;0.275862069;9.8;8;10;7;7;8.2;8;8;8.4;8.4;8;9.2;1.316666667;0.833333333;4.95;5.983333333;0.083333333;2.266666667;102;112;82;104;100;100;0.066666667;0.033333333;2.516666667;0.7;0;0;0;0;0;4.933333333;0;0;0.2;0.25;0.25;0.29;1;0.283333333;0.283333333;0.25;0.3;0.25;0.266666667;0.316666667;1;4
Buenos Aires;0.603846154;0.478927203;0.567049808;0.482758621;0.498084291;0.563218391;0.609195402;12;11.8;19.2;18.8;17;18.8;16.2;16.4;17.8;15.8;17.8;16.8;1.4;1.233333333;11.58333333;10.13333333;0;6.4;215;239;195;180;163;198.4;0.05;0.016666667;5.783333333;0.983333333;0;0;0;0;0;9.7;0;0;0.2;0.25;0.75;0.59;0.6;0.516666667;0.5;0.566666667;0.566666667;0.6;0.5;0.516666667;14;3
Buga Patio Bonito;0.011538462;0.01532567;0.034482759;0.034482759;0.011494253;0.042145594;0.030651341;1.2;0.6;0.6;1;0.6;0.8;1.4;0.8;0.6;0.4;0.6;0.8;0.083333333;0.033333333;0.5;0.466666667;0;0.316666667;7;15;12;7;6;9.4;0;0;0.033333333;0.066666667;0;0;0;0;0;0.683333333;0;0;0;0.25;0;0.01;0.2;0.016666667;0.016666667;0;0.016666667;0.016666667;0.033333333;0;0;2
Cabecera San Antonio De Prado;1.061538462;0.793103448;1.049808429;0.938697318;0.961685824;0.9348659;1.038314176;21.2;23;24.6;33;31.6;31;32.4;32.8;33;35;27;29;4.233333333;2.566666667;18.83333333;17.56666667;0.466666667;11.43333333;159;230;225;557;597;353.6;0.1;0.083333333;3.3;2.266666667;0.033333333;0.05;0.15;0;0.033333333;22.96666667;0.05;0.016666667;1;1.75;0.5;0.89;1.4;1;0.933333333;1.15;1.316666667;0.866666667;0.983333333;0.8;0;2
Cabecera Urbana San Cristobal;0.269230769;0.379310345;0.287356322;0.325670498;0.329501916;0.367816092;0.37164751;8.2;11.4;10.2;9.2;10;9.4;10.2;9;10.2;11.2;10.4;12.2;1.866666667;1.666666667;4.5;7.3;0.116666667;2.716666667;125;129;138;104;112;121.6;0.016666667;0;0.666666667;1.016666667;0;0;0.016666667;0;0.016666667;8.3;0;0;0.2;0.5;0.5;0.21;0.6;0.366666667;0.283333333;0.3;0.25;0.35;0.333333333;0.333333333;0;2
Calasanz;0.469230769;0.218390805;0.540229885;0.45210728;0.455938697;0.475095785;0.498084291;9.6;13;15.6;15.8;12.6;15.2;13;13;15;14.8;14.2;10.4;0.783333333;1.033333333;10.21666667;6.366666667;0.066666667;7.083333333;167;170;163;159;152;162.2;0;0.916666667;4.15;0.616666667;0;0.016666667;0.016666667;0;0;7.733333333;0;0.016666667;0.6;0.5;0.25;0.38;0;0.566666667;0.45;0.55;0.45;0.416666667;0.366666667;0.333333333;5;5
Calasanz Parte Alta;0.253846154;0.183908046;0.199233716;0.264367816;0.256704981;0.252873563;0.252873563;6.6;8.6;5.8;7.8;8.8;5.2;9;8.8;7;7.6;5.4;6.2;0.383333333;0.783333333;5.016666667;3.95;0.016666667;3.266666667;75;63;106;110;80;86.8;0;0;1.466666667;0.666666667;0;0;0;0;0;5.083333333;0;0;0;0.25;0.25;0.24;0.4;0.233333333;0.35;0.333333333;0.216666667;0.283333333;0.166666667;0.216666667;0;4
Calle Nueva;0.976923077;0.30651341;1.026819923;0.927203065;1.068965517;0.785440613;1.118773946;23.4;25.8;23.6;26.2;28.8;22.4;25.2;28;31;31.8;24.4;33.4;2.083333333;1.433333333;21.66666667;10.16666667;0.083333333;16.75;310;311;331;346;322;324;0.1;4.066666667;3.866666667;0.983333333;0.016666667;0.6;0.016666667;0;0.25;16.98333333;0;0.033333333;1;0.75;0;0.6;0.2;0.966666667;1.033333333;0.766666667;0.8;1.133333333;0.933333333;0.733333333;9;3
Campo Alegre;0.353846154;0.191570881;0.295019157;0.314176245;0.325670498;0.283524904;0.318007663;10.8;9.8;9.4;9.6;8.8;8;10.6;8.6;9.2;7.6;10.2;6;0.933333333;1.083333333;5.583333333;6.083333333;0.05;2.916666667;105;103;107;119;109;108.6;0.033333333;0.466666667;1.433333333;0.816666667;0;0;0;0;0.016666667;6.25;0;0;0.6;0;0;0.21;0.6;0.333333333;0.366666667;0.3;0.35;0.233333333;0.233333333;0.266666667;0;4
Campo Amor;2.423076923;0.988505747;2.597701149;2.567049808;2.789272031;1.747126437;2.796934866;55.2;76.6;74.4;70.4;71.4;59.8;71;72;70.4;73.4;67.6;67.8;3.416666667;4.6;52.71666667;32.41666667;0.4;36.35;787;745;845;775;998;830;0.233333333;9.783333333;5.266666667;3.15;0.083333333;0.933333333;0.083333333;0;0.366666667;48.81666667;0.016666667;0.033333333;1.6;2.75;1;2.5;0.6;2.333333333;2.65;2.266666667;2.7;2.383333333;2.15;2.55;5;3
Campo Valdés No. 1;0.634615385;0.636015326;0.574712644;0.800766284;0.681992337;0.662835249;0.651340996;18.8;19.6;22.4;19;18.8;17.6;20;19.8;22.2;20.6;21;22.4;3.083333333;2.083333333;11.61666667;15.01666667;0.116666667;5.05;254;251;251;221;234;242.2;0.016666667;0;6.1;1.483333333;0;0;0;0;0;12.46666667;0;0;0.8;1.25;1.25;0.51;0.8;0.816666667;0.716666667;0.716666667;0.65;0.633333333;0.466666667;0.766666667;9;3
Campo Valdés No. 2;0.488461538;0.754789272;0.429118774;0.544061303;0.398467433;0.536398467;0.46743295;11.4;15.6;14;15.4;19.2;15.2;19.2;16.4;16.4;15;16.8;14.2;3.55;1.983333333;7.583333333;12.83333333;0.15;2.75;217;220;192;150;165;188.8;0.066666667;0.016666667;3.916666667;1.533333333;0;0;0.016666667;0;0;10.05;0;0;0.8;1;0.5;0.56;1;0.55;0.583333333;0.45;0.45;0.6;0.533333333;0.6;0;3
