Barrio;Miercoles prom ;Domingo Prome;Jueves Prom;Lunes Promedio;Martes Prome;Sabado Promedio;Viernes Prome;Promedio Ene;Promedio Feb ;Promedio Marz;Promedio Abril;Promedio Mayo;Promedio Junio;Promo Julio;Promedio Agosto;Promedio Sept;Promedio Oct;Promedio Nov;Promedio Dic;Atropello Mensual;Caida de Ocupante Mensual ;Choque Mensual ;Herido Mensual ;Muerto Mensual ;Solo Daños Mes ;2014;2015;2016;2017;2018;Prom_año;Ciclo Ruta Mes ;Glorieta Mes ;Interseccion Mes ;Lote Mensual ;Paso a nivel Mensual ;Paso elevado Mes;Paso inferior mes ;Ponton Mes ;Puente mes ;Tramo Via Me s;Tunel Mes ;Via Peat Mes ;Prom_D_madre;Prom_N_buena;Prom_Navidad;Prom_Feria_Flores;Prom_1_enero;Dia_5 Prom;Dia 10 Prom ;Dia 21 Prom ;Dia 23 Prom ;Dia 16 Prom ;Dia 17 Prom ;Dia 18 Prom ;semaforos ;estrato
Parque Norte;0.203846154;0.130268199;0.272030651;0.187739464;0.176245211;0.206896552;0.22605364;3.8;7.2;6.4;6.6;6;5.8;8;4.2;5.4;6;7.4;6.4;0.566666667;0.416666667;4.316666667;3.333333333;0.016666667;2.75;94;97;101;41;33;73.2;0.016666667;0;0.766666667;0.2;0;0;0.016666667;0;0.083333333;5;0;0;0;0.25;0;0.13;0.2;0.166666667;0.266666667;0.083333333;0.066666667;0.233333333;0.283333333;0.166666667;3;3
Patio Bonito;0.688461538;0.187739464;0.559386973;0.505747126;0.708812261;0.413793103;0.620689655;11;18.6;18.6;16.6;17.2;13.8;13.6;20.2;18;16.2;15.6;12.8;0.55;0.7;13.36666667;6.116666667;0.05;9.85;188;177;172;219;205;192.2;0.05;0.016666667;2.216666667;0.616666667;0.016666667;0.05;0;0;0.05;12.95;0;0;0.2;0;0;0.58;0;0.566666667;0.666666667;0.55;0.566666667;0.6;0.466666667;0.416666667;15;6
Pedregal;0.426923077;0.528735632;0.482758621;0.498084291;0.463601533;0.570881226;0.482758621;15.2;12.4;14.2;12.8;15.4;17.4;16.8;18.4;16.8;13.8;15.6;11.4;2.833333333;2.666666667;6.55;12.01666667;0.116666667;2.883333333;187;178;171;180;185;180.2;0.05;0.15;2.733333333;1.9;0;0;0;0;0;10.08333333;0;0;0.8;0.5;0.5;0.5;1.4;0.566666667;0.416666667;0.583333333;0.333333333;0.616666667;0.45;0.6;2;3
Pedregal Alto;0.038461538;0.026819923;0.026819923;0.007662835;0.030651341;0.022988506;0.022988506;1;0;1;0.8;1;0.8;1;1.2;0.6;0.4;1;0.4;0.033333333;0.2;0.283333333;0.616666667;0;0.15;5;9;10;9;13;9.2;0;0;0.033333333;0.166666667;0;0;0;0;0;0.566666667;0;0;0;0;0;0.03;0;0.016666667;0.016666667;0.083333333;0;0.016666667;0.016666667;0.033333333;0;2
Pedregal Bajo;0.053846154;0.091954023;0.072796935;0.061302682;0.057471264;0.030651341;0.034482759;2.8;0.8;1.6;1.2;1.4;2;2.4;1.4;2.2;1.8;1.8;1.6;0.166666667;0.4;0.716666667;1.366666667;0.1;0.283333333;34;28;25;13;5;21;0;0;0.083333333;0.116666667;0;0;0;0;0;1.45;0;0;0;0;0;0.09;0;0.083333333;0.066666667;0.033333333;0.05;0.05;0.066666667;0.016666667;0;2
Perpetuo Socorro;2.623076923;0.862068966;2.636015326;2.291187739;2.570881226;2.088122605;2.735632184;62.8;68.6;64.2;60.6;62;72.8;67.2;74.4;74;71;73.6;73.4;2.683333333;4.133333333;54.13333333;31.6;0.25;36.86666667;775;804;875;872;797;824.6;0.283333333;1.733333333;13;2.816666667;0.083333333;1.1;0.083333333;0.033333333;0.883333333;48.46666667;0.016666667;0;0.8;2;0;2.14;0.2;2.066666667;2.316666667;2.083333333;2;2.4;2.85;2.166666667;19;3
Picachito;0.05;0.072796935;0.030651341;0.049808429;0.026819923;0.038314176;0.022988506;1.2;0.8;1.4;1.6;0.8;1;0.8;1.8;2;1.2;1.2;1.4;0.25;0.333333333;0.283333333;1.133333333;0;0.133333333;12;11;13;18;22;15.2;0.016666667;0;0.083333333;0.3;0;0;0;0;0;0.866666667;0;0;0;0;0;0.01;0;0.066666667;0.033333333;0.05;0.066666667;0.033333333;0.016666667;0.083333333;0;1
Picacho;0.419230769;0.509578544;0.375478927;0.425287356;0.390804598;0.455938697;0.383141762;10;11.6;12.4;15.4;14.8;10.4;15;15.6;13.4;12.8;11.6;11.4;2.166666667;2.866666667;5.166666667;10;0.016666667;2.85;147;155;168;156;146;154.4;0;0;1.166666667;1.933333333;0;0;0.033333333;0;0;9.716666667;0;0;0.4;0;0;0.67;1;0.416666667;0.4;0.383333333;0.5;0.483333333;0.483333333;0.45;0;1
Piedra Gorda;0;0;0;0;0.003831418;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0.016666667;0;0;0.016666667;0;0;0;1;0;0.2;0;0;0.016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016666667;0;0;0;0;0;2
Piedras Blancas;0.038461538;0.068965517;0.030651341;0.068965517;0.0651341;0.045977011;0.061302682;1.2;1.8;2.2;1.2;1.2;2.2;2.6;1.8;1.2;0.8;2;1.6;0.666666667;0.216666667;0.583333333;1.316666667;0.016666667;0.316666667;14;23;16;25;21;19.8;0.016666667;0;0.016666667;0.316666667;0;0;0;0;0;1.283333333;0;0;0;0;0;0.03;0;0.033333333;0.1;0.05;0.033333333;0.016666667;0.066666667;0.033333333;0;1
